x,y,z,fp_x,fp_y,fp_z,B.tot,B.tot.mag,B.canc,B.canc.mag,B.RMF,B.RMF.mag,is.rot
-0.01,0.02,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[0.00031392 0.00058224 0.00010998],0.000671,True
-0.01,0.02,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[0.00035926 0.00066723 0.00012464],0.000768,True
-0.01,0.02,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[0.0004103  0.00076327 0.00014036],0.000878,True
-0.01,0.02,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[0.00046735 0.00087112 0.00015684],0.001001,True
0.0,-0.02,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00026565  0.00050437 -0.00014523],0.000588,True
0.0,-0.02,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.0003038   0.00057878 -0.00016422],0.000674,True
0.0,-0.02,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.0003468   0.0006633  -0.00018479],0.000771,True
0.0,-0.02,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00039499  0.00075882 -0.00020668],0.00088,True
0.0,-0.02,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00044859  0.00086609 -0.00022945],0.001002,True
0.0,-0.01,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 2.69383269e-04  5.10609364e-04 -7.55801661e-05],0.000582,True
0.0,-0.01,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 3.08255990e-04  5.84813765e-04 -8.51196857e-05],0.000667,True
0.0,-0.01,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[ 3.52122759e-04  6.68712136e-04 -9.53919855e-05],0.000762,True
0.0,-0.01,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00040133  0.00076303 -0.00010625],0.000869,True
0.0,-0.01,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 0.00045613  0.00086833 -0.00011744],0.000988,True
0.0,0.0,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 2.70640429e-04  5.12736481e-04 -5.97457473e-06],0.00058,True
0.0,0.0,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 3.09759461e-04  5.86848672e-04 -6.30015044e-06],0.000664,True
0.0,0.0,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[ 3.53918498e-04  6.70509304e-04 -6.60570803e-06],0.000758,True
0.0,0.0,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[ 4.03472633e-04  7.64391111e-04 -6.87737032e-06],0.000864,True
0.0,0.0,0.02,0.587767,0.809017,-0.004616,,,,0.000798,[ 4.58679406e-04  8.68982013e-04 -7.09791199e-06],0.000983,True
0.0,0.01,-0.02,0.587767,0.809017,-0.004616,,,,0.000798,[2.69383269e-04 5.10848221e-04 6.36173635e-05],0.000581,True
0.0,0.01,-0.01,0.587767,0.809017,-0.004616,,,,0.000798,[3.08255990e-04 5.85018324e-04 7.24984030e-05],0.000665,True
0.0,0.01,0.0,0.587767,0.809017,-0.004616,,,,0.000798,[3.52122759e-04 6.68865945e-04 8.21504535e-05],0.00076,True
0.0,0.01,0.01,0.587767,0.809017,-0.004616,,,,0.000798,[4.01331852e-04 7.63115817e-04 9.24513465e-05],0.000867,True
